function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_accept	c:@F@p101_accept	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	accept	c:@F@accept
p101_bind	c:@F@p101_bind	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	bind	c:@F@bind
p101_connect	c:@F@p101_connect	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h	yes	yes	yes	connect	c:@F@connect
p101_endhostent	c:@F@p101_endhostent	POSIX	libraries/lib_network/src/netdb.c	libraries/lib_network/include/p101_network/p101_netdb.h	libraries/lib_posix/src/netdb.c	libraries/lib_posix/include/p101_posix/p101_netdb.h	yes	yes	yes	endhostent	c:@F@endhostent
p101_endnetent	c:@F@p101_endnetent	POSIX	libraries/lib_network/src/netdb.c	libraries/lib_network/include/p101_network/p101_netdb.h	libraries/lib_posix/src/netdb.c	libraries/lib_posix/include/p101_posix/p101_netdb.h	yes	yes	yes	endnetent	c:@F@endnetent
p101_endprotoent	c:@F@p101_endprotoent	POSIX	libraries/lib_network/src/netdb.c	libraries/lib_network/include/p101_network/p101_netdb.h	libraries/lib_posix/src/netdb.c	libraries/lib_posix/include/p101_posix/p101_netdb.h	yes	yes	yes	endprotoent	c:@F@endprotoent
p101_endservent	c:@F@p101_endservent	POSIX	libraries/lib_network/src/netdb.c	libraries/lib_network/include/p101_network/p101_netdb.h	libraries/lib_posix/src/netdb.c	libraries/lib_posix/include/p101_posix/p101_netdb.h	yes	yes	yes	endservent	c:@F@endservent
p101_ether_aton	c:@F@p101_ether_aton	common-Unix	libraries/lib_network/src/net/ethernet.c	libraries/lib_network/include/p101_network/net/p101_ethernet.h	libraries/lib_unix/src/net/ethernet.c	libraries/lib_unix/include/p101_unix/net/p101_ethernet.h	yes	yes	yes	ether_aton	c:@F@ether_aton
p101_ether_hostton	c:@F@p101_ether_hostton	common-Unix	libraries/lib_network/src/net/ethernet.c	libraries/lib_network/include/p101_network/net/p101_ethernet.h	libraries/lib_unix/src/net/ethernet.c	libraries/lib_unix/include/p101_unix/net/p101_ethernet.h	yes	yes	yes	ether_hostton	c:@F@ether_hostton
p101_ether_line	c:@F@p101_ether_line	common-Unix	libraries/lib_network/src/net/ethernet.c	libraries/lib_network/include/p101_network/net/p101_ethernet.h	libraries/lib_unix/src/net/ethernet.c	libraries/lib_unix/include/p101_unix/net/p101_ethernet.h	yes	yes	yes	ether_line	c:@F@ether_line
p101_ether_ntoa	c:@F@p101_ether_ntoa	common-Unix	libraries/lib_network/src/net/ethernet.c	libraries/lib_network/include/p101_network/net/p101_ethernet.h	libraries/lib_unix/src/net/ethernet.c	libraries/lib_unix/include/p101_unix/net/p101_ethernet.h	yes	yes	yes	ether_ntoa	c:@F@ether_ntoa
p101_ether_ntohost	c:@F@p101_ether_ntohost	common-Unix	libraries/lib_network/src/net/ethernet.c	libraries/lib_network/include/p101_network/net/p101_ethernet.h	libraries/lib_unix/src/net/ethernet.c	libraries/lib_unix/include/p101_unix/net/p101_ethernet.h	yes	yes	yes	ether_ntohost	c:@F@ether_ntohost
